name,calories_per_100g,protein_per_100g,calories_per_unit,protein_per_unit,unit_type,serving_name,serving_quantity,categories,image
Mango,,,150,1.7,unit,,,Veg,foods/mango.jpg
Orange,,,62,1,unit,,,Veg,foods/orange.jpg
Lassi,90,3,,,ml,glass,250,Beverages;Veg,foods/lassi.jpg
Black Coffee,7,0.7,,,ml,cup,150,Low Calorie;Beverages;Veg,foods/black_coffee.webp
Oats (basic),390,17,,,g,,,Veg,foods/oats.jpg
Veg Burger,,,300,7,unit,,,Fast Food;Veg;Junk,foods/veg_burger.jpg
Chicken Burger,,,400,18,unit,,,Fast Food;Junk;Non-Veg;High Protein,foods/chicken_burger.jpg
Paneer Roll,,,350,12,unit,,,Veg;Indian;High Protein,foods/paneer_roll.jpg
Jeera Rice,150,3,,,g,plate,200,High Carb;Veg,foods/jeera_rice.jpg
Curd Rice,130,3,,,g,plate,200,High Carb;Veg,foods/curd_rice.webp
Lemon Rice,180,4,,,g,plate,200,High Carb;Veg,foods/lemon_rice.jpg
Gulab Jamun,,,150,2,unit,,,Veg,foods/gulab_jamun.jpg
Rasgulla,,,120,3,unit,,,Veg,foods/Rasgulla.jpg
Carrot,41,1,,,g,,,Veg,foods/carrot.jpg
Brocolli,34,2.8,,,g,,,Veg,foods/brocli.jpg
Cucumber,16,0.7,,,g,,,Veg,foods/cucumber.jpg
Spinach,23,2.9,,,g,,,Veg,foods/spinach.webp
Green Peas,80,4.4,,,g,,,Veg,foods/gran_pees.jpg
Green Salad,40,2,,,g,,,Veg;Healthy,foods/green_salad.jpg
Sprouts Salad,120,6,,,g,,,Veg;Healthy,foods/sprouts_salad.jpg
Paneer Salad,200,11,,,g,,,Indian;Veg;Healthy;High Protein,foods/paneer_salad.jpg
Tea,100,2,,,ml,cup,150,Veg,foods/tea.webp
Cold Coffee,90,3,,,ml,cup,150,Beverages;Veg,foods/cold_coffee.jpg
Sugarcane Juice,180,0,,,ml,glass,250,Beverages;Veg,foods/sugarcane_juice.jpg
Popcorn (plain),380,12,,,g,,,Veg,foods/popcorn.jpg
Nachos,500,7,,,g,,,Veg,foods/nachos.jpg
Khakra,,,120,3,unit,,,Veg,foods/khakhra.webp
Makhana (Roasted),350,9,,,g,,,Veg,foods/makhana.jpg
Mirinda,35,0,,,ml,,,Veg,foods/mirinda_bottle.webp
Sprite,45,0,,,ml,,,Veg,foods/sprite.jpg
Coke,42,0,,,ml,,,Veg,foods/coca_cola.jpg
Diet Coke,1,0,,,ml,,,Veg,foods/diet_coke_dam3nhq.jpg
Mogu Mogu,47,0.2,,,ml,,,Veg,foods/mogu_mogu_wIhOK1w.png
Frooti,65,0,,,ml,,,Veg,foods/frooti.webp
Appy Fiz,55,0,,,ml,,,Veg,foods/appy_fizz.webp
Amul Kool,90,3.1,,,ml,,,Veg,foods/amul_kool.jpg
7 Up,30,0,,,ml,,,Veg,foods/7_up.jpg
Sting,28,0,,,ml,,,Veg,foods/sting.jpg
Maaza,63,0,,,ml,,,Veg,foods/maaza.jpg
Parle - G Biscuit,,,23,0.3,unit,,,Veg,foods/parle_g.webp
Marie Biscuit,,,24,0.5,unit,,,Veg,foods/marie_biscuit.jpg
Oreo Biscuit,,,50,0.5,unit,,,Veg,foods/oreo.jpg
Bourbon Biscuit,,,53,0.7,unit,,,Veg,foods/bornborn_biscuit.jpg
Nutri Choice Digestive Biscuit,,,30,1,unit,,,Veg,foods/nutri_choice.jpg
Jim-Jam Biscuit,,,55,0.6,unit,,,Veg,foods/jim_jam.jpg
Happy Happy Biscuit,,,62,0.7,unit,,,Veg,foods/happy_happy.jpg
Dairy Milk,,,12,0.2,unit,glass,250,Veg,foods/dairy_milk.jpg
Five Star,,,45,0.5,unit,,,Veg,foods/5_star.jpg
Ferrero Rocher,,,74,1,unit,,,Veg,foods/ferrero_rocher.avif
Avacado Toast,250,6,,,g,,,Veg,foods/avacado_toast.webp
Avacado Salad,160,2,,,g,,,Veg;Healthy,foods/avacado_salad.jpg
Cheese Cake,320,6,,,g,,,Veg;Desserts,foods/cheese_cake.jpg
Chocolate truffle cake,400,5,,,g,,,Veg;Desserts,foods/truffule_cake.jpg
Double chocolate cake,370,6,,,g,,,Veg;Desserts,foods/double_chocolate_cake.jpg
Dutch Chocolate Cake,350,5,,,g,,,Veg;Desserts,foods/dutch_cake.webp
Choco chip Brownie,430,5,,,g,,,Veg,foods/chocochips_browonie.webp
Walnut Brownie,450,6,,,g,,,Veg,foods/walnut_brownie.avif
Chocolate Donut,,,300,4,unit,,,Veg;Desserts,foods/donut_brownie.jpg
Strawberry Frosted Donut,,,280,4,unit,,,Veg,foods/strawberry_frosted_dounut.jpg
Pizza Bun,180,6,,,g,,,Fast Food;Veg;Junk,foods/pizza_bun.webp
Mini Pizza,200,8,,,g,,,Fast Food;Veg;Junk,foods/mini_image.jpg
Veg Dry Manchurian,180,4,,,g,,,Veg;Chinese,foods/dry_manchurian.webp
Veg Gravy Manchurian,150,4,,,g,,,Veg;Chinese,foods/gravy_manchurian.jpg
Chicken Manchurian (Dry),220,25,,,g,,,Chinese;Non-Veg;High Protein,foods/dry_chicken_manchurian.jpg
Chicken Manchurian (Gravy),220,14,,,g,,,Chinese;Non-Veg;High Protein,foods/gravy_chicken_manchurian.png
Chicken Lollipop,,,100,8,unit,,,Non-Veg;High Protein,foods/chicken_lollipop.jpg
Rasmalai Cake,320,6,,,g,,,Veg;Desserts,foods/rasmalai_cake.jpg
Chocolate Fudge,480,4,,,g,,,Veg;Desserts,foods/choclate_fudge.jpg
Walnut Fudge,450,5,,,g,,,Veg,foods/walnut_fudge.jpg
Vada Pav,,,300,8,unit,,,Street Food;High Carb;Veg,foods/vada_pav.avif
Vada Usal,,,350,12,unit,,,Veg,foods/vada_usal.jpg
Egg Omelette,,,70,6,g,,,High Protein;Egg,foods/egg_omlet.webp
Tomato Ketchup,110,1,,,g,,,Veg,foods/tomato_ketchup.jpeg
Schezwan Chutney,120,2,,,g,,,Veg;Chinese,foods/Shezwan_Chutney.png
Soy Sauce,50,8,,,ml,,,Veg,foods/soy_sauce.avif
Red Chilli Sauce,80,1,,,g,,,Veg,foods/red_chilli_sauce.avif
Green Chilli Sauce,60,1,,,g,,,Veg,
Grilled Chicken Breast,165,31,,,g,,,Non-Veg;High Protein;Healthy,
Boiled Egg White,,,17,4,piece,egg white,1,Egg;High Protein;Low Calorie,
Boiled Egg,,,70,6,piece,egg,1,Egg;High Protein,
Paneer Bhurji,265,18,,,g,,,Veg;High Protein;Indian,
Tofu Stir Fry,150,15,,,g,,,Veg;High Protein;Healthy,
Soya Chunk Curry,120,16,,,g,,,Veg;High Protein;Indian,
Roasted Chana,360,20,,,g,,,Snacks;High Protein;Healthy,
Boiled Corn,96,3.4,,,g,,,Veg;Healthy,
Butter Corn,150,3.5,,,g,,,Snacks;Junk,
Oats Porridge,70,2.5,,,g,bowl,1,Healthy;Breakfast;Low Calorie,
Masala Omelette,,,180,12,piece,2 eggs,1,Egg;High Protein;Indian,
Bread Butter,250,6,,,g,2 slices,1,Fast Food;Junk;High Carb,
